D0,D1,D2,mode,I_rms_sq_original,k
0.01,0.52,0.49,1,-522942933333333.7,0.98
0.01,0.55,0.49,1,-523483733333333.25,0.98
0.01,0.55,0.52,1,-1244600533333330.8,0.98
0.01,0.58,0.49,1,-524082133333335.06,0.98
0.01,0.58,0.52,1,-1245198933333332.5,0.98
0.01,0.58,0.55,1,-1870334933333339.5,0.98
0.01,0.61,0.49,1,-524738133333336.1,0.98
0.01,0.61,0.52,1,-1245854933333333.5,0.98
0.01,0.61,0.55,1,-1870990933333340.5,0.98
0.01,0.61,0.58,1,-2400146133333343.5,0.98
0.01,0.64,0.49,1,-525451733333336.5,0.98
0.01,0.64,0.52,1,-1246568533333334.0,0.98
0.01,0.64,0.55,1,-1871704533333341.0,0.98
0.01,0.64,0.58,1,-2400859733333344.0,0.98
0.01,0.64,0.61,1,-2834034133333326.5,0.98
0.01,0.6699999999999999,0.49,1,-526222933333336.2,0.98
0.01,0.6699999999999999,0.52,1,-1247339733333333.8,0.98
0.01,0.6699999999999999,0.55,1,-1872475733333340.8,0.98
0.01,0.6699999999999999,0.58,1,-2401630933333343.5,0.98
0.01,0.6699999999999999,0.61,1,-2834805333333326.0,0.98
0.01,0.6699999999999999,0.64,1,-3171998933333347.5,0.98
0.01,0.7,0.49,1,-527051733333335.2,0.98
0.01,0.7,0.52,1,-1248168533333332.5,0.98
0.01,0.7,0.55,1,-1873304533333339.5,0.98
0.01,0.7,0.58,1,-2402459733333342.5,0.98
0.01,0.7,0.61,1,-2835634133333325.0,0.98
0.01,0.7,0.64,1,-3172827733333346.5,0.98
0.01,0.7,0.6699999999999999,1,-3414040533333345.0,0.98
0.01,0.73,0.49,1,-527938133333333.44,0.98
0.01,0.73,0.52,1,-1249054933333330.8,0.98
0.01,0.73,0.55,1,-1874190933333337.8,0.98
0.01,0.73,0.58,1,-2403346133333340.5,0.98
0.01,0.73,0.61,1,-2836520533333323.5,0.98
0.01,0.73,0.64,1,-3173714133333345.0,0.98
0.01,0.73,0.6699999999999999,1,-3414926933333343.0,0.98
0.01,0.73,0.7,1,-3560158933333336.0,0.98
0.01,0.76,0.49,1,-528882133333333.94,0.98
0.01,0.76,0.52,1,-1249998933333331.2,0.98
0.01,0.76,0.55,1,-1875134933333338.2,0.98
0.01,0.76,0.58,1,-2404290133333341.0,0.98
0.01,0.76,0.61,1,-2837464533333324.0,0.98
0.01,0.76,0.64,1,-3174658133333345.5,0.98
0.01,0.76,0.6699999999999999,1,-3415870933333343.5,0.98
0.01,0.76,0.7,1,-3561102933333336.5,0.98
0.01,0.76,0.73,1,-3610354133333324.0,0.98
0.01,0.79,0.49,1,-529883733333336.7,0.98
0.01,0.79,0.52,1,-1251000533333334.0,0.98
0.01,0.79,0.55,1,-1876136533333341.0,0.98
0.01,0.79,0.58,1,-2405291733333344.0,0.98
0.01,0.79,0.61,1,-2838466133333326.5,0.98
0.01,0.79,0.64,1,-3175659733333348.0,0.98
0.01,0.79,0.6699999999999999,1,-3416872533333346.5,0.98
0.01,0.79,0.7,1,-3562104533333339.5,0.98
0.01,0.79,0.73,1,-3611355733333327.0,0.98
0.01,0.79,0.76,1,-3564626133333335.5,0.98
0.01,0.82,0.49,1,-530942933333332.75,0.98
0.01,0.82,0.52,1,-1252059733333330.2,0.98
0.01,0.82,0.55,1,-1877195733333337.2,0.98
0.01,0.82,0.58,1,-2406350933333340.0,0.98
0.01,0.82,0.61,1,-2839525333333322.5,0.98
0.01,0.82,0.64,1,-3176718933333344.0,0.98
0.01,0.82,0.6699999999999999,1,-3417931733333342.5,0.98
0.01,0.82,0.7,1,-3563163733333335.5,0.98
0.01,0.82,0.73,1,-3612414933333323.0,0.98
0.01,0.82,0.76,1,-3565685333333331.5,0.98
0.01,0.82,0.79,1,-3422974933333338.0,0.98
0.01,0.85,0.49,1,-532059733333337.06,0.98
0.01,0.85,0.52,1,-1253176533333334.5,0.98
0.01,0.85,0.55,1,-1878312533333341.5,0.98
0.01,0.85,0.58,1,-2407467733333344.5,0.98
0.01,0.85,0.61,1,-2840642133333327.0,0.98
0.01,0.85,0.64,1,-3177835733333348.5,0.98
0.01,0.85,0.6699999999999999,1,-3419048533333347.0,0.98
0.01,0.85,0.7,1,-3564280533333340.0,0.98
0.01,0.85,0.73,1,-3613531733333327.0,0.98
0.01,0.85,0.76,1,-3566802133333336.0,0.98
0.01,0.85,0.79,1,-3424091733333342.0,0.98
0.01,0.85,0.82,1,-3185400533333322.0,0.98
0.01,0.88,0.49,1,-533234133333334.7,0.98
0.01,0.88,0.52,1,-1254350933333332.2,0.98
0.01,0.88,0.55,1,-1879486933333339.2,0.98
0.01,0.88,0.58,1,-2408642133333342.0,0.98
0.01,0.88,0.61,1,-2841816533333324.5,0.98
0.01,0.88,0.64,1,-3179010133333346.0,0.98
0.01,0.88,0.6699999999999999,1,-3420222933333344.5,0.98
0.01,0.88,0.7,1,-3565454933333337.5,0.98
0.01,0.88,0.73,1,-3614706133333325.0,0.98
