P_req_W,Power_actual_W,D0_opt,D1_opt,D2_opt,Irms_opt_A,Efficiency_%,Mode,Power_error_W,Power_error_%
150,249.904116,0.01,0.88,0.9099999999999999,4.909888725725696,98.1072165486386,2.0,99.90411599999999,66.16166622516555
200,299.908224,0.01,0.33999999999999997,0.82,4.791771986279694,98.49188502245438,2.0,99.90822400000002,49.705584079602
250,349.892928,0.01,0.33999999999999997,0.45999999999999996,4.673701081812135,98.76681609079684,2.0,99.89292799999998,39.79797928286852
300,384.208902,0.01,0.49,0.49,4.592641922436794,98.91396095192339,2.0,84.20890200000002,27.976379401993363
350,384.208902,0.01,0.49,0.49,4.592641922436794,98.91396095192339,2.0,34.20890200000002,9.746125925925933
400,384.208902,0.01,0.49,0.49,4.592641922436794,98.91396095192339,2.0,15.791097999999977,3.9379296758104676
450,384.208902,0.01,0.49,0.49,4.592641922436794,98.91396095192339,2.0,65.79109799999998,14.587826607538798
600,698.4628560000007,0.97,0.06999999999999999,0.94,8.467580409232912,97.98822566625194,2.0,98.46285600000067,16.38317071547432
650,749.2819320000007,0.97,0.01,0.76,8.397563387640892,98.15246548390816,3.0,99.28193200000067,15.250680798771224
700,799.5306480000006,0.97,0.13,0.22,8.328332191207032,98.2945444517314,3.0,99.53064800000061,14.198380599144167
750,848.6956800000007,0.97,0.09999999999999999,0.64,8.260594062573674,98.41739525221692,3.0,98.69568000000072,13.141901464713811
800,899.4577200000007,0.97,0.16,0.4,8.19065562349747,98.53020757477475,3.0,99.45772000000068,12.416694132334666
850,949.7634720000008,0.97,0.31,0.33999999999999997,8.121345844547793,98.63012742681802,3.0,99.76347200000077,11.723087191539456
900,999.4418280000008,0.97,0.52,0.73,8.052900473272093,98.7189161693642,2.0,99.44182800000078,11.036828856825837
950,1045.7550600000009,0.97,0.4,0.43,7.989091470429535,98.79406006839932,3.0,95.75506000000087,10.068881177707766
1000,1095.5474880000008,0.97,0.45999999999999996,0.45999999999999996,7.920488934122202,98.86771100732138,3.0,95.54748800000084,9.54520359640368
1050,1129.341318000001,0.97,0.49,0.49,7.873928793501245,98.91396111994143,2.0,79.34131800000091,7.549126355851657
1100,1129.341318000001,0.97,0.49,0.49,7.873928793501245,98.91396111994143,2.0,29.34131800000091,2.6649698455949964
1150,1129.341318000001,0.97,0.49,0.49,7.873928793501245,98.91396111994143,2.0,20.65868199999909,1.7948463944395385
1200,1129.341318000001,0.97,0.49,0.49,7.873928793501245,98.91396111994143,2.0,70.65868199999909,5.883320732722655
1250,1349.784576,0.04,0.45999999999999996,0.6699999999999999,9.213531845501645,98.75780642785544,2.0,99.78457600000002,7.976384972022384
1300,1394.491392,0.04,0.43,0.58,9.159911267481268,98.81094546964981,2.0,94.4913919999999,7.262981706379701
