Power_Target_W,D0,D1,D2,Irms_A,Power_Actual_W,Power_Error_W,Mode
100,0.93,0.02,0.9500000000000001,0.08599903100179936,98.7500000000005,1.2499999999995026,3
110,0.72,0.81,0.77,0.16298006012954525,109.2499999999999,0.7500000000000995,6
120,0.75,0.81,0.75,0.21722683996191594,118.74999999999997,1.2500000000000284,6
130,0.78,0.81,0.73,0.77801831597966,128.25000000000003,1.7499999999999716,6
140,0.9,0.02,0.92,1.9148542155126738,140.00000000000068,6.821210263296962e-13,3
150,0.81,0.05,0.86,0.34761089357716957,150.5000000000012,0.5000000000011937,3
160,0.77,0.02,0.8,1.0637982264825125,160.00000000000014,1.4210854715202004e-13,3
170,0.79,0.02,0.8200000000000001,1.7521415467933348,170.9999999999995,0.9999999999994884,3
180,0.79,0.01,0.81,1.8182810105519887,180.49999999999955,0.49999999999954525,3
190,0.8200000000000001,0.01,0.8400000000000001,1.8746110707733807,188.0000000000001,1.9999999999998863,3
200,0.49,0.8400000000000001,0.36000000000000004,5.716569484110777,199.74999999999986,0.2500000000001421,5
210,0.5,0.8300000000000001,0.32,5.89258008006682,208.24999999999983,1.7500000000001705,4
220,0.51,0.8300000000000001,0.33,6.160044304494378,220.74999999999994,0.7499999999999432,5
230,0.52,0.8300000000000001,0.33,6.339780161803743,228.50000000000006,1.4999999999999432,5
240,0.54,0.8200000000000001,0.27,6.5223094708341804,238.49999999999983,1.5000000000001705,4
250,0.56,0.8300000000000001,0.3,6.796629066431895,248.49999999999977,1.5000000000002274,5
260,0.56,0.8200000000000001,0.28,6.983790756697484,259.99999999999983,1.7053025658242404e-13,5
270,0.5800000000000001,0.8200000000000001,0.26,7.172516991963137,269.0000000000001,0.9999999999998863,5
280,0.5800000000000001,0.81,0.24000000000000002,7.361838538481167,280.00000000000006,5.684341886080802e-14,5
290,0.59,0.81,0.24000000000000002,7.552538204692056,288.7499999999998,1.2500000000002274,5
300,0.61,0.81,0.22,7.745966692414819,298.2499999999999,1.7500000000001137,5
310,0.61,0.8,0.2,7.940350538022024,309.74999999999994,0.25000000000005684,5
320,0.62,0.8,0.2,8.135928547703283,318.9999999999998,1.0000000000002274,5
330,0.64,0.8,0.18000000000000002,8.333966642601826,329.0000000000001,0.9999999999998863,5
340,0.64,0.79,0.16,8.533268228918306,341.00000000000006,1.0000000000000568,5
350,0.64,0.79,0.18000000000000002,8.73331743001096,349.50000000000017,0.49999999999982947,5
360,0.65,0.79,0.18000000000000002,8.933644273195558,358.24999999999983,1.7500000000001705,5
370,0.66,0.78,0.13,9.038246280851908,368.25000000000017,1.7499999999998295,5
380,0.67,0.78,0.13,9.24251386258089,378.4999999999999,1.5000000000001137,5
390,0.68,0.78,0.13,9.44765733749201,388.2499999999998,1.7500000000002274,5
400,0.7000000000000001,0.78,0.11,9.654947997443244,399.2499999999999,0.7500000000001137,5
410,0.7000000000000001,0.77,0.08,9.760976727083557,408.0000000000001,1.9999999999998863,5
420,0.7100000000000001,0.77,0.08,9.970498148705184,418.7500000000001,1.2499999999998863,5
430,0.72,0.77,0.08,10.18086440337951,429.0,1.0,5
440,0.73,0.77,0.08,10.391783613348899,438.7500000000001,1.2499999999998863,5
450,0.73,0.76,0.05,10.50185995431285,449.0,1.0,5
460,0.73,0.76,0.06999999999999999,10.714947697803595,458.00000000000017,1.9999999999998295,5
470,0.74,0.75,0.02,10.825317547305483,468.5,1.5,5
480,0.74,0.75,0.04,11.041814464419634,479.00000000000006,0.9999999999999432,5
490,0.76,0.75,0.02,11.26010657143173,491.2500000000003,1.2500000000002842,1
500,0.75,0.74,0.01,11.370626448588196,499.2499999999998,0.7500000000002274,1
510,0.75,0.74,0.03,11.589744928168184,509.2499999999997,0.7500000000002842,1
520,0.76,0.74,0.03,11.809552101300602,519.2500000000001,0.7499999999998863,1
530,0.73,0.72,0.02,11.922038416311198,529.5000000000001,0.4999999999998863,1
540,0.72,0.7100000000000001,0.02,12.143173665342458,541.2499999999994,1.2499999999994316,1
550,0.6900000000000001,0.7000000000000001,0.060000000000000005,12.365846783244026,548.7499999999999,1.2500000000001137,5
560,0.72,0.7000000000000001,0.01,12.476022837159816,559.2499999999997,0.7500000000003411,1
